timestamp,pv_voltage_V,pv_current_A,pv_power_W,pv_status,battery_voltage_V,battery_current_A,battery_charge_power_W,battery_charge_set_W,battery_charge_voltage_V,battery_ovp_V,battery_uvp_V,grid_voltage_V,grid_current_A,grid_input_power_W,grid_charge_power_W,grid_freq_Hz,grid_status,output_switch,output_voltage_V,output_current_A,output_power_W,output_freq_Hz,temp_inverter_C,temp_boost_C,temp_transformer_C,fan_current_pct,fan_setpoint_pct,op_mode,inverter_on,ac_charging,bypassing,fault_active,faults,warnings,fault_code
2026-06-12T17:10:34.075025,0.0,0.0,0,Abnormal,50.2,0.0,0,64,51.2,59.2,38.8,20.0,0.05,36,36,44.86,Normal,0,0.0,0.0,0,0.0,27.3,2.9,0.0,0,21850,PV shutdown,0,0,0,0,,,0
2026-06-12T17:10:37.075040,0.0,0.0,0,Abnormal,50.2,0.0,0,96,0.0,60.0,26.2,20.0,0.05,16,24,48.68,Abnormal,0,0.0,0.0,0,0.0,1.6,3.2,0.0,0,21855,State 0,0,0,0,0,,,0
2026-06-12T17:10:40.075209,0.0,0.0,0,Abnormal,34.1,0.0,0,96,0.0,58.4,39.0,6.8,0.05,16,24,48.68,Abnormal,0,0.0,0.0,0,0.0,28.2,25.6,0.0,0,21855,PV fault,0,1,0,0,,,0
2026-06-12T17:10:43.075135,0.2,0.0,0,Abnormal,25.5,0.1,0,68,51.2,59.2,38.6,211.6,0.05,42,42,48.68,Abnormal,0,0.0,0.0,0,0.0,1.7,28.8,0.0,0,22442,PV shutdown,0,0,0,0,,,0
2026-06-12T17:10:46.075152,0.0,0.0,0,Abnormal,25.5,0.1,0,68,51.2,59.2,38.6,211.6,0.05,0,0,43.58,Abnormal,0,0.0,0.0,0,0.0,6.0,28.9,0.0,0,22442,PV fault,0,1,0,0,,,0
2026-06-12T17:10:49.075379,0.0,0.0,0,Abnormal,17.0,0.0,0,100,0.0,59.2,0.6,211.3,0.34,20,20,47.41,Normal,0,0.0,0.0,0,0.0,6.0,28.9,0.0,0,-1283,PV fault,0,1,0,0,,,0
2026-06-12T17:10:52.075300,0.0,0.0,0,Abnormal,17.0,0.0,0,68,51.2,8.0,26.2,6.8,0.32,20,10,43.58,Abnormal,0,0.0,0.0,0,0.0,31.4,3.3,0.0,0,21887,PV fault,0,0,0,0,,,0
2026-06-12T17:10:55.075724,0.0,0.0,0,Abnormal,17.0,0.0,0,68,51.2,60.0,39.0,212.1,0.34,42,5,44.87,Normal,0,0.0,0.0,0,0.0,31.4,3.3,0.0,0,21847,PV fault,0,0,0,0,,,0
2026-06-12T17:10:58.075412,0.2,0.0,0,Abnormal,8.4,0.0,0,68,51.2,60.0,39.0,211.3,0.06,42,5,44.87,Normal,0,0.0,0.0,0,0.0,31.8,0.3,0.0,0,21847,PV fault,0,1,0,0,,,0
2026-06-12T17:11:01.075478,0.0,0.0,0,Abnormal,37.8,0.0,0,68,51.2,0.8,26.0,224.5,0.05,42,5,44.87,Normal,0,0.0,0.0,0,0.0,31.4,25.7,0.0,0,21845,PV fault,0,0,0,0,,,0
